Symbol,Name,Industry,IndustryCode
RYAAY,Ryanair Holdings PLC ADR,운송업,524060
EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
NDAQ,Nasdaq Inc,투자은행 및 서비스,551020
ZS,Zscaler Inc,소프트웨어 및 IT서비스,572010
MXIM,Maxim Integrated Products Inc,반도체 및 반도체 장비,571010
DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
STNE,StoneCo Ltd Class A,핀테크,573010
TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
GRMN,Garmin Ltd,커뮤니케이션 및 네트워킹,571020
Z,Zillow Group Inc Class C,부동산 운영 관리,601010
BNTX,BioNTech SE ADR,생명과학 및 메디컬 리서치,562020
XP,Xp Inc Class A,투자은행 및 서비스,551020
YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
CDW,CDW Corp,소프트웨어 및 IT서비스,572010
CERN,Cerner Corp,헬스케어 장비 및 용품,561010
LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
NTRS,Northern Trust Corp,투자은행 및 서비스,551020
GMAB,Genmab A/S ADR,생명과학 및 메디컬 리서치,562020
COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
LI,Li Auto Inc. ADR,자동차 및 자동차 부품,531010
HZNP,Horizon Therapeutics PLC,제약,562010
PLUG,Plug Power Inc,재생에너지,502010
TTWO,Take-Two Interactive Software Inc,레저 상품,532050
CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
IQ,iQIYI Inc ADR,소프트웨어 및 IT서비스,572010
FUTU,Futu Holdings Ltd ADR,핀테크,573010
TER,Teradyne Inc,반도체 및 반도체 장비,571010
ULTA,Ulta Beauty Inc,전문품 상점,534030
HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
ENPH,Enphase Energy Inc,재생에너지,502010
TSCO,Tractor Supply Co,전문품 상점,534030
WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
DISH,DISH Network Corp Class A,미디어 및 출판,533020
TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
STX,Seagate Technology PLC,"컴퓨터, 전화 및 가전제품",571060
PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
DISCK,Discovery Inc Series C,미디어 및 출판,533020
GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
CINF,Cincinnati Financial Corp,보험,553010
VTRS,Viatris Inc,제약,562010
ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
PODD,Insulet Corp,헬스케어 장비 및 용품,561010
HBAN,Huntington Bancshares Inc,은행,551010
LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
BPY,Brookfield Property Partners LP Unit,부동산 운영 관리,601010
GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
UAL,United Airlines Holdings Inc,운송업,524060
CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
PFG,Principal Financial Group Inc,보험,553010
ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
PTC,PTC Inc,소프트웨어 및 IT서비스,572010
ACGL,Arch Capital Group Ltd,보험,553010
IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
BMRN,Biomarin Pharmaceutical Inc,제약,562010
NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
FOXA,Fox Corp Class A,미디어 및 출판,533020
CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
ENTG,Entegris Inc,반도체 및 반도체 장비,571010
FANG,Diamondback Energy Inc,오일 및 가스,501020
POOL,Pool Corp,레저 상품,532050
NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
AAL,American Airlines Group Inc,운송업,524060
HAS,Hasbro Inc,레저 상품,532050
NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
SEDG,Solaredge Technologies Inc,재생에너지,502010
LKQ,LKQ Corp,자동차 및 자동차 부품,531010
MASI,Masimo Corp,헬스케어 장비 및 용품,561010
OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
CG,Carlyle Group Inc,투자은행 및 서비스,551020
WB,Weibo Corp ADR,미디어 및 출판,533020
PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
ZLAB,Zai Lab Ltd ADR,제약,562010
NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
LNT,Alliant Energy Corp,전기 유틸리티,591010
SBNY,Signature Bank,은행,551010
CREE,Cree Inc,반도체 및 반도체 장비,571010
NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
CGC,Canopy Growth Corp,제약,562010
FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
UHAL,Amerco,화물 및 물류 서비스,524050
JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
OZON,Ozon Holdings PLC ADR,전자 장비 및 부품,571040
KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
ERIE,Erie Indemnity Co Class A,보험,553010
FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
RUN,Sunrun Inc,재생에너지,502010
EWBC,East West Bancorp Inc,은행,551010
NWL,Newell Brands Inc,가정용품,532040
MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
DISCA,Discovery Inc Series A,미디어 및 출판,533020
WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
FIVE,Five Below Inc,다양한 소매업,534020
RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
MORN,Morningstar Inc,전문 및 상업 서비스,522030
AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
FOX,Fox Corp Class B,미디어 및 출판,533020
GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
REG,Regency Centers Corp,주택 및 상업용 리츠,601020
PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
STLD,Steel Dynamics Inc,메탈&마이닝,512010
NWSA,News Corp Class A,미디어 및 출판,533020
PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
PRAH,PRA Health Sciences Inc,생명과학 및 메디컬 리서치,562020
YY,JOYY Inc ADR,소프트웨어 및 IT서비스,572010
MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
JAZZ,Jazz Pharmaceuticals PLC,제약,562010
BBIO,BridgeBio Pharma Inc,제약,562010
ZION,Zions Bancorporation NA,은행,551010
MIDD,Middleby Corp,가정용품,532040
AXON,Axon Enterprise Inc,우주항공 및 국방,521010
MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
CBSH,Commerce Bancshares Inc,은행,551010
BLDR,Builders FirstSource Inc,주택건설,532030
NTRA,Natera Inc,헬스케어 장비 및 용품,561010
HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
OLED,Universal Display Corp,반도체 및 반도체 장비,571010
RP,RealPage Inc,소프트웨어 및 IT서비스,572010
CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
APA,APA Corp (US),오일 및 가스,501020
NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
BYND,Beyond Meat Inc,식품 및 담배,541020
EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
GNTX,Gentex Corp,자동차 및 자동차 부품,531010
AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
SEIC,SEI Investments Co,투자은행 및 서비스,551020
FLEX,Flex Ltd,전자 장비 및 부품,571040
ARCC,Ares Capital Corp,다양한 금융서비스,555010
IPHI,Inphi Corp,반도체 및 반도체 장비,571010
RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ACAD,ACADIA Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
PBCT,People's United Financial Inc,은행,551010
IIVI,II-VI Inc,전자 장비 및 부품,571040
FSLR,First Solar Inc,재생에너지,502010
ANGI,ANGI Homeservices Inc Class A,소프트웨어 및 IT서비스,572010
XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
ABCL,Abcellera Biologics Inc,생명과학 및 메디컬 리서치,562020
DADA,Dada Nexus Ltd ADR,소프트웨어 및 IT서비스,572010
MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
CASY,Caseys General Stores Inc,식품 및 약품소매,543010
SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
LAZR,Luminar Technologies Inc Class A,전자 장비 및 부품,571040
NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
TCF,TCF Financial Corp,은행,551010
WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
MAT,Mattel Inc,레저 상품,532050
FLIR,FLIR Systems Inc,커뮤니케이션 및 네트워킹,571020
ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
PAA,Plains All American Pipeline LP,오일 및 가스 장비 및 서비스,501030
TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
TRIP,Tripadvisor Inc,호텔 및 엔터테인먼트,533010
RGLD,Royal Gold Inc,메탈&마이닝,512010
FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
COLM,Columbia Sportswear Co,섬유 및 의류,532020
GWPH,GW Pharmaceuticals PLC ADR,생명과학 및 메디컬 리서치,562020
SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CACC,Credit Acceptance Corp,은행,551010
HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
FFIN,First Financial Bankshares Inc,은행,551010
APPS,Digital Turbine Inc,소프트웨어 및 IT서비스,572010
RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
ALLK,Allakos Inc,생명과학 및 메디컬 리서치,562020
NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
PNFP,Pinnacle Financial Partners Inc,은행,551010
LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
BOKF,BOK Financial Corp,은행,551010
TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
PAAS,Pan American Silver Corp,메탈&마이닝,512010
FSV,FirstService Corp,부동산 운영 관리,601010
BL,Blackline Inc,소프트웨어 및 IT서비스,572010
DOOO,BRP Inc,레저 상품,532050
SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
RDFN,Redfin Corp,부동산 운영 관리,601010
QDEL,Quidel Corp,헬스케어 장비 및 용품,561010
CNXC,Concentrix Corp,전문 및 상업 서비스,522030
LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
BLDP,Ballard Power Systems Inc,재생에너지,502010
FRPT,Freshpet Inc,식품 및 담배,541020
CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
LSTR,Landstar System Inc,화물 및 물류 서비스,524050
SRCL,Stericycle Inc,전문 및 상업 서비스,522030
EXPI,eXp World Holdings Inc,부동산 운영 관리,601010
KOD,Kodiak Sciences Inc,생명과학 및 메디컬 리서치,562020
TGTX,TG Therapeutics Inc,생명과학 및 메디컬 리서치,562020
WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
SSB,South State Corp,은행,551010
MSTR,MicroStrategy Inc Class A,소프트웨어 및 IT서비스,572010
PPC,Pilgrims Pride Corp,식품 및 담배,541020
JBLU,JetBlue Airways Corp,운송업,524060
ADPT,Adaptive Biotechnologies Corp,생명과학 및 메디컬 리서치,562020
REYN,Reynolds Consumer Products Inc,용기 및 포장,513020
SLM,SLM Corp,은행,551010
NKLA,Nikola Corporation,자동차 및 자동차 부품,531010
BPOP,Popular Inc,은행,551010
TFSL,TFS Financial Corp,은행,551010
AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
VIR,Vir Biotechnology Inc,생명과학 및 메디컬 리서치,562020
BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
COHR,Coherent Inc,전자 장비 및 부품,571040
LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
API,Agora Inc ADR,소프트웨어 및 IT서비스,572010
TWST,Twist Bioscience Corp,제약,562010
GBCI,Glacier Bancorp Inc,은행,551010
DCT,Duck Creek Technologies Inc,소프트웨어 및 IT서비스,572010
NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
PACB,Pacific Biosciences of California Inc,헬스케어 장비 및 용품,561010
MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
BPMC,Blueprint Medicines Corp,생명과학 및 메디컬 리서치,562020
OZK,Bank Ozk,은행,551010
OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
UPWK,Upwork Inc,전문 및 상업 서비스,522030
HELE,Helen of Troy Ltd,가정용품,532040
VRNS,Varonis Systems Inc,소프트웨어 및 IT서비스,572010
TPTX,Turning Point Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GLPG,Galapagos NV ADR,생명과학 및 메디컬 리서치,562020
ONEM,1Life Healthcare Inc,헬스케어 업체 및 서비스,561020
TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
ESGR,Enstar Group Ltd,보험,553010
SAIA,Saia Inc,화물 및 물류 서비스,524050
SHLS,Shoals Technologies Group Inc Class A,재생에너지,502010
OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
VLY,Valley National Bancorp,은행,551010
SPWR,SunPower Corp,재생에너지,502010
AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
UBSI,United Bankshares Inc,은행,551010
JCOM,j2 Global Inc,통신 서비스,574010
FIZZ,National Beverage Corp,음료,541010
CROX,Crocs Inc,섬유 및 의류,532020
IRDM,Iridium Communications Inc,통신 서비스,574010
NEO,Neogenomics Inc,헬스케어 업체 및 서비스,561020
EVBG,Everbridge Inc,소프트웨어 및 IT서비스,572010
POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
APHA,Aphria Inc,제약,562010
DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
AVIR,Atea Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
LANC,Lancaster Colony Corp,식품 및 담배,541020
EXPO,Exponent Inc,전문 및 상업 서비스,522030
ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
SDGR,Schrodinger Inc,소프트웨어 및 IT서비스,572010
ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
CCMP,CMC Materials Inc,반도체 및 반도체 장비,571010
ABCM,Abcam PLC ADR,제약,562010
ALLO,Allogene Therapeutics Inc,생명과학 및 메디컬 리서치,562020
SABR,Sabre Corp,소프트웨어 및 IT서비스,572010
APPF,Appfolio Inc Class A,소프트웨어 및 IT서비스,572010
IOVA,Iovance Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
LOPE,Grand Canyon Education Inc,교육서비스,631010
NWS,News Corp Class B,미디어 및 출판,533020
CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
DOYU,Douyu International Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
LPRO,Open Lending Corp Class A,전문 및 상업 서비스,522030
