itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
371460,4,TIGER 차이나전기차SOLACTIVE,11000,2,150,1.38,,8.1215,2001903,22122,6552
133690,4,TIGER 미국나스닥100,65980,2,565,0.86,,8.1382,82709,5474,6532
069660,1,KOSEF 200,42385,2,405,0.96,42433.0,12.6979,28335,1200,6315
293180,1,HANARO 200,42235,2,405,0.97,42309.0,12.5339,44891,1898,6018
314250,4,KODEX 미국FANG플러스(H),26720,2,620,2.38,,10.6401,234065,6274,4863
294400,1,KOSEF 200TR,49410,2,490,1.0,49457.0,12.6799,13273,655,4793
295040,1,SMART 200TR,14135,2,195,1.4,14155.0,12.0578,4752,67,4707
364960,2,TIGER KRX BBIG K-뉴딜,12280,2,150,1.24,12311.0,5.1582,316552,3892,4580
229200,1,KODEX 코스닥 150,14065,2,220,1.59,14194.0,-5.6881,1736533,24304,4416
091180,2,KODEX 자동차,23470,2,390,1.69,23488.0,23.0277,202338,4720,4307
315930,2,KODEX Top5PlusTR,19910,2,225,1.14,19893.0,17.3822,5371,106,4201
251340,3,KODEX 코스닥150선물인버스,4695,5,-90,-1.88,4700.0,3.796,31721662,149665,4146
226490,1,KODEX 코스피,31105,2,365,1.19,31185.0,10.7747,39131,1217,3701
261220,5,KODEX WTI원유선물(H),9855,2,120,1.23,,37.0161,1213341,11981,3486
332500,1,KINDEX 200TR,25355,2,355,1.42,25362.0,12.309,2632,66,3271
251350,4,KODEX 선진국MSCI World,17840,2,65,0.37,,11.687,531167,9434,3229
357870,7,TIGER CD금리투자KIS(합성),50235,2,5,0.01,50233.0,0.1495,1,0,3148
290130,2,KBSTAR ESG사회책임투자,13920,2,235,1.72,13927.0,14.2797,115372,1605,3097
192090,4,TIGER 차이나CSI300,11770,2,105,0.9,,8.7747,216112,2547,3037
332940,1,HANARO MSCI Korea TR,17075,2,195,1.16,17074.0,11.6033,55,0,2766
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),17460,2,165,0.95,,5.5216,47722,833,2619
367770,2,KBSTAR Fn수소경제테마,12510,2,295,2.42,12540.0,10.1939,174783,2174,2358
132030,5,KODEX 골드선물(H),11700,5,-110,-0.93,,-6.2699,145775,1710,2328
091170,2,KODEX 은행,6950,5,-45,-0.64,6961.0,10.2442,666049,4596,2304
176950,6,KODEX 국채선물10년인버스,47385,2,115,0.24,47378.0,2.6715,524,24,2269
232080,1,TIGER 코스닥150,14135,2,235,1.69,14269.0,-6.0176,145348,2044,2205
168580,4,KINDEX 중국본토CSI300,31550,2,20,0.06,,10.1677,19245,605,2145
245710,4,KINDEX 베트남VN30(합성),17030,5,-70,-0.41,,24.0029,63036,1076,1958
148070,6,KOSEF 국고채10년,119990,5,-430,-0.36,119974.0,-2.162,3479,417,1956
091160,2,KODEX 반도체,35450,2,745,2.15,35513.0,14.2363,159513,5647,1932
306540,6,HANARO 단기통안채,102970,3,0,0.0,102982.0,0.1118,0,0,1843
278240,1,KBSTAR 코스닥150선물레버리지,14190,2,470,3.43,14195.0,-12.192,71476,1007,1833
196230,6,KBSTAR 단기통안채,104315,3,0,0.0,104322.0,0.144,348014,36304,1802
302450,1,KBSTAR 코스피,31235,2,400,1.3,31285.0,11.2574,70,2,1765
325020,2,KODEX 배당가치,12940,2,45,0.35,12942.0,11.2597,3546,45,1747
161510,2,ARIRANG 고배당주,11570,2,20,0.17,11605.0,6.4025,77872,899,1722
328370,1,ARIRANG 코스피TR,15315,2,215,1.42,15314.0,10.7038,13382,203,1708
150460,2,TIGER 중국소비테마,8080,2,90,1.13,8098.0,8.4124,74280,597,1706
270810,1,KBSTAR 코스닥150,13845,2,205,1.5,13979.0,-5.7035,14457,199,1686
332930,1,HANARO 200TR,49435,2,460,0.94,49527.0,12.7027,218,10,1656
272580,6,TIGER 단기채권액티브,50065,3,0,0.0,50065.0,0.13,1682,84,1625
360750,4,TIGER 미국S&P500,11245,2,25,0.22,,11.7418,254978,2868,1586
190620,6,KINDEX 단기통안채,100215,2,5,0.0,100210.0,0.1198,500,50,1571
326240,2,KBSTAR IT플러스,21410,2,275,1.3,21404.0,15.9989,49284,1056,1563
282000,3,KBSTAR 국고채3년선물인버스,99935,2,100,0.1,99885.0,0.3972,7,0,1530
371160,4,TIGER 차이나항셍테크,11025,2,200,1.85,,,316407,3508,1466
143850,4,TIGER 미국S&P500선물(H),45900,2,285,0.62,,7.0146,27306,1254,1457
143860,2,TIGER 헬스케어,44115,2,955,2.21,44504.0,-18.5584,16447,722,1376
360200,4,KINDEX 미국S&P500,11310,2,10,0.09,,11.6711,168049,1901,1369
138540,2,TIGER 현대차그룹+펀더멘털,26230,2,425,1.65,26259.0,19.1091,56013,1461,1359
267770,3,TIGER 200선물레버리지,19940,2,420,2.15,19935.0,24.094,340559,6782,1336
204480,4,TIGER 차이나CSI300레버리지(합성),32545,2,225,0.7,,19.1081,41229,1343,1302
367380,4,KINDEX 미국나스닥100,11320,2,100,0.89,,8.082,95849,1087,1302
091230,2,TIGER 반도체,36285,2,570,1.6,36368.0,14.7101,110011,3993,1284
144600,5,KODEX 은선물(H),5390,5,-75,-1.37,,9.4094,434209,2346,1261
139280,2,TIGER 경기방어,12160,2,145,1.21,12183.0,-6.4253,12287,149,1162
298770,4,KODEX 한국대만IT프리미어,20010,2,185,0.93,,19.1764,112239,2242,1161
273140,6,KODEX 단기변동금리부채권액티브,102475,3,0,0.0,102476.0,0.1661,0,0,1138
136340,6,KBSTAR 중기우량회사채,105015,5,-140,-0.13,105029.0,0.1285,985,103,1134
361580,1,KBSTAR 200TR,21265,2,185,0.88,21299.0,12.7875,8867,188,1127
368190,2,HANARO Fn K-뉴딜디지털플러스,12660,2,120,0.96,12700.0,5.9121,67827,861,1127
219480,4,KODEX 미국S&P500선물(H),18885,2,105,0.56,,7.039,48688,920,1114
372330,4,KODEX 차이나항셍테크,11035,2,175,1.61,,,278797,3090,1098
252710,3,TIGER 200선물인버스2X,2175,5,-45,-2.03,2173.0,-24.618,6217698,13513,1081
130680,5,TIGER 원유선물Enhanced(H),2975,2,30,1.02,,38.5882,455433,1355,1050
108450,2,KINDEX 삼성그룹섹터가중,16060,2,150,0.94,16115.0,7.5363,1122,18,1028
367760,2,KBSTAR Fn5G테크,11060,2,265,2.45,11084.0,-6.8594,54641,601,1012
156080,1,KODEX MSCI Korea,20150,2,240,1.21,20193.0,11.4157,167,3,1008
283580,4,KODEX 중국본토CSI300,14245,2,135,0.96,,8.9154,163734,2328,997
315960,2,KBSTAR 대형고배당10TR,17145,2,140,0.82,17147.0,16.1543,30109,516,994
376410,2,TIGER 탄소효율그린뉴딜,9930,2,135,1.38,9958.0,,31747,315,993
325010,2,KODEX Fn성장,18455,2,235,1.29,18450.0,8.3234,96176,1774,978
272560,6,KBSTAR 단기국공채액티브,101860,3,0,0.0,101861.0,0.2213,16086,1638,966
233160,1,TIGER 코스닥150 레버리지,14900,2,520,3.62,15051.0,-13.3735,155968,2306,939
225040,4,TIGER 미국S&P500레버리지(합성 H),26785,2,350,1.32,,13.1151,16031,429,937
302190,6,TIGER 중장기국채,52085,5,-115,-0.22,52043.0,-1.3587,963,50,917
195930,4,TIGER 유로스탁스50(합성 H),13060,2,125,0.97,,9.6186,180713,2357,914
114260,6,KODEX 국고채3년,57870,5,-55,-0.09,57866.0,-0.2669,18298,1059,903
245360,4,TIGER 차이나HSCEI,13450,2,30,0.22,,12.9724,14623,196,767
371470,4,TIGER 차이나바이오테크SOLACTIVE,11385,2,130,1.16,,13.4576,108859,1251,747
364970,2,TIGER KRX바이오K-뉴딜,10155,2,235,2.37,10160.0,-22.621,116994,1187,736
182480,7,TIGER 미국MSCI리츠(합성 H),13135,2,70,0.54,,7.9573,20446,268,722
292190,1,KODEX KRX300,19390,2,195,1.02,19444.0,10.5384,10436,201,717
157490,2,TIGER 소프트웨어,16610,2,145,0.88,16613.0,15.9507,41836,697,714
195980,4,ARIRANG 신흥국MSCI(합성 H),13160,2,235,1.82,,6.7299,20178,265,705
174360,4,KBSTAR 중국본토대형주CSI100,22540,2,125,0.56,,11.2683,30155,679,676
102970,2,KODEX 증권,7815,2,90,1.17,7843.0,2.726,100059,779,653
310960,1,TIGER 200TR,22155,2,205,0.93,22196.0,12.7375,1092,24,642
256750,4,KODEX 심천ChiNext(합성),12285,5,-65,-0.53,,10.3171,54891,678,639
277630,1,TIGER 코스피,31140,2,485,1.58,31176.0,10.3769,4910,152,638
114820,6,TIGER 국채3년,110590,5,-100,-0.09,110601.0,-0.2524,652,72,630
336160,6,KBSTAR 금융채액티브,103010,5,-105,-0.1,102980.0,-0.0146,141,14,628
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),4045,2,40,1.0,,43.8061,349028,1412,627
266360,2,KODEX 미디어&엔터테인먼트,21460,2,260,1.23,21488.0,12.5862,24311,523,622
329200,2,TIGER 부동산인프라고배당,5150,2,30,0.59,5165.0,5.567,59857,307,621
368590,4,KBSTAR 미국나스닥100,10960,2,85,0.78,,8.0476,261349,2869,614
363580,2,KODEX 200IT TR,14760,2,305,2.11,14777.0,21.7263,2636,38,605
261240,7,KODEX 미국달러선물,10020,5,-50,-0.5,10024.0,4.4064,92345,924,601
123310,3,TIGER 인버스,4325,5,-45,-1.03,4326.0,-12.3371,324840,1405,588
266370,2,KODEX IT,21510,2,320,1.51,21519.0,15.919,18831,404,581
289260,2,TIGER MSCI KOREA ESG리더스,12125,2,140,1.17,12145.0,14.3061,4396,53,578
243880,2,TIGER 200IT레버리지,69530,2,2715,4.06,69491.0,44.6995,25496,1773,556
117700,2,KODEX 건설,3175,2,85,2.75,3185.0,6.1855,218365,688,552
292500,1,SMART KRX300,19335,2,195,1.02,19382.0,10.8922,5970,115,522
337140,2,KODEX 코스피대형주,14895,2,235,1.6,14899.0,11.6102,2902,43,521
304780,1,HANARO 200선물레버리지,28915,2,580,2.05,28958.0,23.8959,5318,154,520
137610,5,TIGER 농산물선물Enhanced(H),5655,2,5,0.09,,17.3416,80420,455,503
375770,2,KODEX 탄소효율그린뉴딜,9900,2,135,1.38,9936.0,,13225,131,495
130730,6,KOSEF 단기자금,100970,2,5,0.0,100965.0,0.1686,819371,82731,486
305080,6,TIGER 미국채10년선물,11510,5,-65,-0.56,,0.6521,55121,634,483
245340,4,TIGER 미국다우존스30,18555,5,-10,-0.05,,12.8983,23676,439,482
280930,4,KODEX 미국러셀2000(H),15240,2,260,1.74,,19.6963,183241,2789,480
122260,6,KOSEF 통안채1년,101125,2,5,0.0,101124.0,0.1386,289043,29231,475
139270,2,TIGER 200 금융,6750,5,-60,-0.88,6765.0,8.6124,250810,1687,467
292050,1,KBSTAR KRX300,19535,2,275,1.43,19571.0,10.2145,438,8,459
365000,2,TIGER KRX인터넷K-뉴딜,11245,2,190,1.72,11260.0,10.2743,202960,2283,439
272570,6,KBSTAR 중장기국공채액티브,103190,5,-235,-0.23,103247.0,-0.5482,227,23,430
359210,1,KODEX 코스피TR,14120,2,225,1.62,14145.0,10.1903,3282,46,424
139250,2,TIGER 200 에너지화학,20300,2,360,1.81,20346.0,14.5318,17198,348,422
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,10730,2,250,2.39,,3.6085,39495,424,412
228800,2,TIGER 여행레저,4825,2,35,0.73,4830.0,4.0173,187448,901,395
356540,6,KINDEX KIS종합채권(AA-이상)액티브,98245,5,-380,-0.39,98193.0,-0.979,1,0,393
228810,2,TIGER 미디어컨텐츠,6820,2,80,1.19,6829.0,17.0138,462125,3160,391
329750,6,TIGER 미국달러단기채권액티브,9695,5,-50,-0.51,,4.448,239291,2320,382
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,96095,5,-205,-0.21,96070.0,-2.5304,3,0,373
289040,2,KODEX MSCI KOREA ESG유니버설,12665,2,170,1.36,12696.0,11.6621,2006,25,367
360140,2,KODEX 200롱코스닥150숏선물,12095,5,-100,-0.82,12112.0,18.2832,100555,1227,363
169950,4,KODEX 중국본토 A50,23730,2,120,0.51,,10.1983,10034,238,356
306520,3,HANARO 200선물인버스,9005,5,-90,-0.99,8995.0,-12.3796,87846,790,356
304940,4,KODEX 미국나스닥100선물(H),16540,2,205,1.25,,3.6484,116089,1928,356
114460,6,KINDEX 국고채3년,106680,5,-90,-0.08,106670.0,-0.243,62,6,352
304770,1,HANARO 코스닥150,13925,2,150,1.09,14080.0,-5.0982,334,4,351
364990,2,TIGER KRX게임K-뉴딜,10790,2,165,1.55,10803.0,1.1423,25171,271,345
099140,4,KODEX China H,22810,2,160,0.71,,11.4391,5381,122,342
114100,6,KBSTAR 국고채3년,112775,5,-140,-0.12,112804.0,-0.2518,375,42,338
322400,2,HANARO e커머스,16870,2,160,0.96,16889.0,14.8848,44504,753,337
114470,6,KOSEF 국고채3년,112240,5,-90,-0.08,112259.0,-0.2265,408,45,337
123320,3,TIGER 레버리지,25110,2,500,2.03,25146.0,24.45,328856,8243,326
309230,2,KINDEX 미국WideMoat가치주,15495,5,-125,-0.8,,15.4045,76056,1182,325
261250,7,KODEX 미국달러선물레버리지,9275,5,-90,-0.96,9285.0,8.6426,207584,1925,321
292160,1,TIGER KRX300,19310,2,205,1.07,19353.0,10.4207,80,1,309
203780,4,TIGER 미국나스닥바이오,20380,2,260,1.29,,6.9586,7691,157,306
227830,1,ARIRANG 코스피,31295,2,210,0.68,31431.0,11.3997,490,15,297
138230,7,KOSEF 미국달러선물,11915,5,-60,-0.5,11911.0,4.3482,19033,226,297
354500,1,KINDEX 코스닥150,13975,2,160,1.16,14069.0,-5.764,8938,124,293
217780,4,TIGER 차이나CSI300인버스(합성),7685,5,-15,-0.19,,-11.1881,5450,41,292
252400,3,KBSTAR 200선물레버리지,24180,2,590,2.5,24194.0,23.3786,18895,456,290
269540,4,ARIRANG 미국S&P500(H),16060,2,115,0.72,,7.1932,10725,172,289
204450,4,KODEX China H 레버리지(H),7725,2,45,0.59,,14.97,18524,144,286
200250,4,KOSEF 인도Nifty50(합성),16250,5,-60,-0.37,,18.1884,32738,533,284
152870,1,파워 200,43115,2,400,0.94,43180.0,12.6598,124,5,280
266410,2,KODEX 필수소비재,9920,2,65,0.66,9947.0,5.627,10120,100,278
276650,4,KBSTAR 글로벌4차산업IT(합성 H),20430,2,365,1.82,,5.6052,2918,59,276
277540,4,KINDEX S&P아시아TOP50,16680,2,75,0.45,,17.019,16800,281,275
252420,3,KBSTAR 200선물인버스2X,2105,5,-40,-1.86,2097.0,-24.7369,509491,1070,274
253250,3,KOSEF 200선물레버리지,23830,2,470,2.01,23859.0,24.0573,11369,271,272
337160,2,KODEX 200ESG,14970,2,220,1.49,14961.0,14.8753,11508,171,269
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),10240,3,0,0.0,,7.4388,34877,357,266
329650,7,KODEX TRF3070,10990,2,20,0.18,10947.0,2.5712,24849,272,264
363510,6,SMART KIS단기통안채,100235,3,0,0.0,100236.0,0.1398,0,0,264
332620,6,ARIRANG 미국장기우량회사채,93800,5,-470,-0.5,,-5.5601,754,70,253
211900,2,KODEX 배당성장,14830,2,200,1.37,14856.0,10.5402,2146,31,252
279530,2,KODEX 고배당,8985,2,65,0.73,9011.0,4.6948,6629,59,252
367740,2,HANARO Fn5G산업,12405,2,150,1.22,12460.0,9.0302,17524,218,248
139220,2,TIGER 200 건설,2770,2,60,2.21,2779.0,9.7165,234276,646,248
228790,2,TIGER 화장품,3725,2,50,1.36,3731.0,3.9603,92734,343,244
223190,2,KODEX 200가치저변동,11015,2,110,1.01,11025.0,11.7315,14739,162,242
368680,2,KODEX Fn K-뉴딜디지털플러스,12660,2,110,0.88,12709.0,5.9071,6784,86,241
250780,3,TIGER 코스닥150선물인버스,4805,5,-90,-1.84,4803.0,4.2598,484557,2335,238
319640,4,TIGER 골드선물(H),12465,5,-120,-0.95,,-6.1872,109055,1360,237
278620,6,ARIRANG 단기채권액티브,105870,2,5,0.0,105863.0,0.1229,54,5,234
316670,1,KOSEF 코스닥150,7040,2,130,1.88,7043.0,-5.5366,3300,23,232
117460,2,KODEX 에너지화학,19310,2,410,2.17,19320.0,16.5228,41043,790,230
285690,2,FOCUS ESG리더스,10780,2,130,1.22,10803.0,11.9873,137,1,226
225130,4,KINDEX 골드선물 레버리지(합성 H),15835,5,-305,-1.89,,-12.686,10381,165,222
276990,4,KODEX 글로벌4차산업로보틱스(합성),17440,2,300,1.75,,13.7736,9712,169,221
332610,6,ARIRANG 미국단기우량회사채,96000,5,-300,-0.31,,4.035,158,15,221
244580,2,KODEX 바이오,14210,2,255,1.83,14364.0,-14.334,28482,403,216
292730,1,FOCUS KRX300,19540,2,270,1.4,19505.0,10.2718,1,0,215
236350,4,TIGER 인도니프티50레버리지(합성),19455,5,-235,-1.19,,38.0785,13851,272,214
218420,4,KODEX 미국S&P에너지(합성),7000,5,-120,-1.69,,36.1376,59856,421,213
237370,7,KODEX 배당성장채권혼합,11755,2,80,0.69,11752.0,2.9087,4739,55,212
138520,2,TIGER 삼성그룹펀더멘털,12390,2,135,1.1,12442.0,7.8785,34517,427,211
322410,2,HANARO 고배당,9680,2,125,1.31,9679.0,6.2847,1653,15,208
227540,2,TIGER 200 헬스케어,25295,2,540,2.18,25319.0,-19.7439,4575,115,207
287180,4,ARIRANG 미국나스닥기술주,20625,2,480,2.38,,8.5691,18227,376,206
306950,3,KODEX KRX300레버리지,20570,2,470,2.34,20625.0,19.9284,6382,130,206
243890,2,TIGER 200에너지화학레버리지,21540,2,775,3.73,21495.0,28.1394,26815,573,205
225800,3,KOSEF 미국달러선물레버리지,8830,5,-70,-0.79,8840.0,8.2725,5116,45,204
341850,7,TIGER KIS부동산인프라채권TR,5260,3,0,0.0,5276.0,1.8393,20967,110,200
337150,2,KODEX 200exTOP,14180,2,190,1.36,14185.0,11.0758,3,0,199
152380,6,KODEX 국채선물10년,69210,5,-170,-0.25,69198.0,-2.6178,1269,87,195
138530,2,TIGER LG그룹+펀더멘털,11480,2,210,1.86,11512.0,19.3855,23772,272,195
266420,2,KODEX 헬스케어,19320,2,380,2.01,19465.0,-18.1858,25210,485,193
138910,5,KODEX 구리선물(H),7620,2,15,0.2,,15.4897,51430,391,191
365040,1,TIGER AI코리아그로스액티브,13500,2,150,1.12,13531.0,13.1355,2101,28,189
304660,6,KODEX 미국채울트라30년선물(H),11690,5,-120,-1.02,,-11.5025,13988,163,187
251590,2,ARIRANG 고배당저변동50,10370,2,35,0.34,10382.0,6.8769,4528,46,181
230480,3,KOSEF 미국달러선물인버스2X,8580,2,45,0.53,8611.0,-8.521,1485,12,181
139230,2,TIGER 200 중공업,2910,2,85,3.01,2922.0,-3.0875,234890,678,178
225050,4,TIGER 유로스탁스레버리지(합성 H),8730,2,30,0.34,,17.4089,7173,62,175
337120,2,KODEX Fn멀티팩터,14490,2,85,0.59,14580.0,11.0639,316,4,174
304760,1,HANARO KRX300,19110,2,190,1.0,19209.0,10.6691,107,2,172
143460,2,KINDEX 밸류대형,10030,2,100,1.01,10033.0,14.1379,41,0,171
256440,4,KINDEX 인도네시아MSCI(합성),8780,2,80,0.92,,0.9866,8328,72,167
275290,2,KODEX MSCI밸류,12760,2,160,1.27,12773.0,11.2091,6602,84,166
182490,6,TIGER 단기선진하이일드(합성 H),12295,2,55,0.45,,2.3839,1315,16,160
331910,2,KOSEF Fn중소형,22705,2,465,2.09,22680.0,14.7278,48,1,159
272910,6,KINDEX 중장기국공채액티브,101145,5,-145,-0.14,101140.0,-0.7185,12,1,159
091220,2,TIGER 은행,7220,5,-40,-0.55,7244.0,10.0166,216228,1555,156
153270,1,KOSEF 코스피100,32400,2,340,1.06,32418.0,12.3729,143,4,156
280320,4,KINDEX 미국IT인터넷S&P(합성 H),19415,2,635,3.38,,2.9041,912,17,155
253160,3,ARIRANG 200선물인버스2X,4195,5,-110,-2.56,4190.0,-24.4074,158089,663,155
183700,7,KBSTAR 채권혼합,64130,2,230,0.36,64194.0,3.465,1049,67,154
248270,4,TIGER S&P글로벌헬스케어(합성),15330,5,-25,-0.16,,3.6099,2254,34,153
122090,1,ARIRANG 코스피50,30025,2,335,1.13,30006.0,13.2989,678,20,153
168300,1,KTOP 코스피50,30420,2,480,1.6,30400.0,12.4295,127,3,151
270800,2,KBSTAR KQ고배당,15050,2,130,0.87,15109.0,6.1921,1349,20,151
361590,2,KBSTAR 코스피ex200,12535,2,120,0.97,12552.0,7.1182,9,0,150
108590,1,TREX 200,42495,2,410,0.97,42550.0,12.2865,36,1,149
245350,4,TIGER 유로스탁스배당30,12370,2,90,0.73,,14.7556,11547,142,148
237350,1,KODEX 코스피100,32780,2,295,0.91,32847.0,12.5021,1274,41,148
117680,2,KODEX 철강,8060,2,20,0.25,8074.0,9.836,147689,1184,147
279540,2,KODEX 최소변동성,12220,2,85,0.7,12269.0,4.4769,2,0,147
284430,6,KODEX 200미국채혼합,13050,2,60,0.46,13031.0,4.8426,3023,39,146
241180,4,TIGER 일본니케이225,18195,2,220,1.22,,9.1577,776,14,146
276000,4,TIGER 글로벌자원생산기업(합성 H),13180,2,200,1.54,,13.0169,3570,47,145
140950,1,파워 코스피100,32735,2,250,0.77,32829.0,12.3465,207,6,144
253150,3,ARIRANG 200선물레버리지,47980,2,1015,2.16,47981.0,24.0655,6047,290,144
307010,3,KBSTAR KRX300레버리지,20410,2,550,2.77,20368.0,19.4945,267,5,143
210780,2,TIGER 코스피고배당,12760,2,20,0.16,12799.0,10.3508,1913,24,142
285000,2,KBSTAR 200IT,17610,2,350,2.03,17659.0,21.8496,665,11,141
229720,1,KODEX KTOP30,23150,2,220,0.96,23154.0,13.7965,2474,57,139
271060,5,KODEX 3대농산물선물(H),10020,5,-35,-0.35,,18.7131,18151,181,138
219900,4,KINDEX 중국본토CSI300레버리지(합성),5700,2,60,1.06,,17.0124,11676,66,137
371130,4,KINDEX 블룸버그베트남VN30선물레버리지(H),13635,2,195,1.45,,24.0997,2843,38,136
292750,1,ARIRANG KRX300,19455,2,230,1.2,19454.0,10.9347,29,0,136
238720,4,KINDEX 일본Nikkei225(H),19285,2,150,0.78,,9.4679,1252,24,135
364690,1,KODEX 혁신기술테마액티브,13375,2,170,1.29,13379.0,11.6229,522,6,134
239660,6,ARIRANG 우량회사채50 1년,108470,3,0,0.0,108463.0,0.1153,29947,3248,130
213610,2,KODEX 삼성그룹밸류,9280,2,25,0.27,9316.0,4.9319,1681,15,130
315270,2,TIGER 200커뮤니케이션서비스,29435,2,190,0.65,29509.0,14.8664,161,4,130
266160,2,KBSTAR 고배당,12180,2,20,0.16,12213.0,10.9792,44079,538,128
261120,7,TIGER 미국달러선물인버스2X,9775,2,135,1.4,9734.0,-8.8417,2,0,127
373490,2,KODEX K-이노베이션액티브,11540,2,150,1.32,11557.0,,2524,29,127
272220,2,KINDEX 스마트모멘텀,18005,2,190,1.07,18048.0,10.1731,7598,136,126
196030,4,KINDEX 일본TOPIX레버리지(H),20990,2,490,2.39,,15.5255,343,7,126
152500,3,KINDEX 레버리지,10450,2,225,2.2,10474.0,23.7144,57418,600,125
272230,2,KINDEX 스마트밸류,15610,2,115,0.74,15681.0,13.1434,12,0,125
308620,6,KODEX 미국채10년선물,11325,5,-35,-0.31,,-0.5254,15387,174,125
265690,4,KINDEX 러시아MSCI(합성),27400,2,450,1.67,,8.2764,3500,95,123
104520,2,KOSEF 블루칩,10235,2,105,1.04,10232.0,10.3485,220,2,123
253290,7,KBSTAR 헬스케어채권혼합,12280,2,50,0.41,12301.0,-6.2117,9773,120,123
248260,4,TIGER 일본TOPIX헬스케어(합성),12215,2,20,0.16,,0.5773,104,1,122
329670,7,KODEX TRF7030,12150,2,5,0.04,12112.0,7.4778,1332,16,122
100910,1,KOSEF KRX100,6740,2,75,1.13,6738.0,11.1759,314,2,121
269420,4,KODEX S&P글로벌인프라(합성),11360,2,15,0.13,,6.5258,2947,33,120
360150,2,KODEX 코스닥150롱코스피200숏선물,7950,2,45,0.57,7965.0,-16.6579,175,1,119
310080,4,KBSTAR 중국MSCI China선물(H),14865,5,-50,-0.34,,7.1095,11892,178,119
251600,7,ARIRANG 고배당주채권혼합,10795,2,5,0.05,10793.0,2.5178,5025,54,119
139660,7,KOSEF 미국달러선물인버스,10600,2,55,0.52,10587.0,-4.3538,95,1,118
277650,2,TIGER 코스피중형주,15510,2,230,1.51,15588.0,5.7805,24,0,116
160580,5,TIGER 구리실물,9495,5,-60,-0.63,,23.2108,13036,124,116
140700,2,KODEX 보험,6120,5,-55,-0.89,6129.0,9.5829,62483,381,116
244620,2,KODEX 모멘텀Plus,11625,2,220,1.93,11669.0,-1.9347,740,8,116
329660,7,KODEX TRF5050,11565,3,0,0.0,11540.0,5.1363,5467,63,116
167860,6,KOSEF 국고채10년레버리지,128020,5,-1030,-0.8,127851.0,-4.6631,376,48,115
228820,1,TIGER KTOP30,11410,2,70,0.62,11436.0,14.3721,1094,12,114
316300,7,KINDEX 싱가포르리츠,11345,2,20,0.18,,3.7087,1857,20,113
225060,4,TIGER 이머징마켓MSCI레버리지(합성 H),16085,2,345,2.19,,14.0993,8343,134,113
195920,4,TIGER 일본TOPIX(합성 H),16035,2,170,1.07,,7.6322,530,8,112
183710,7,KBSTAR 주식혼합,44520,2,395,0.9,44525.0,8.4418,1,0,111
237440,7,TIGER 경기방어채권혼합,9950,2,35,0.35,9944.0,-2.1225,5274,52,109
140710,2,KODEX 운송,5695,2,105,1.88,5701.0,17.5604,45464,256,108
352560,7,KODEX 다우존스미국리츠(H),12000,2,220,1.87,,5.5082,3723,44,108
